Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Pseudogramma polyacantha,Honeycomb podge,Serranidae,benthic,genus,171,87,368,0.771,0.437,1.395,0.136,0.072,0.259,18,16,20,29.1,13.3,62,158,48,560,1.82,1.13,2.89
Pseudorhombus arsius,Largetooth flounder,Paralichthyidae,pelagic,species,124,56,263,0.867,0.482,1.757,0.367,0.15,0.876,15.7,13.5,17.9,53.3,20.8,136.6,47,11,236,0.926,0.577,1.546
Pteragogus flagellifer,Cocktail wrasse,Labridae,benthic,species,73,45,140,0.689,0.406,1.174,0.155,0.1,0.234,18.7,15.9,21,31.8,18.5,51.6,110,38,343,1.63,1.14,2.89
Ptereleotris evides,Blackfin dartfish,Gobiidae,pelagic,species,84.9,46.8,154.4,0.766,0.485,1.259,0.12,0.07,0.21,18.4,17.4,19.5,29,14,54,194,72,510,1.53,1.04,2.23
Ptereleotris heteroptera,Blacktail goby,Gobiidae,pelagic,species,84.9,46.8,154.4,0.766,0.485,1.259,0.12,0.07,0.21,18.4,17.4,19.5,29,14,54,194,72,510,1.53,1.04,2.23
Ptereleotris microlepis,Blue gudgeon,Gobiidae,pelagic,genus,87.9,48,160.7,0.778,0.489,1.286,0.121,0.07,0.21,18.4,17.3,19.4,28.4,13.6,53.7,202,74,540,1.57,1.06,2.3
Ptereleotris monoptera,Lyre-tail dart-goby,Gobiidae,pelagic,species,92.1,50,169.9,0.782,0.488,1.306,0.123,0.07,0.217,18.4,17.3,19.4,27.5,13.1,52.3,219,80,593,1.6,1.1,2.3
Ptereleotris zebra,Chinese zebra goby,Gobiidae,pelagic,species,92.1,50,169.9,0.782,0.488,1.306,0.123,0.07,0.217,18.4,17.3,19.4,27.5,13.1,52.3,219,80,593,1.6,1.1,2.3
Pterocaesio capricornis,Capricorn fusilier,Caesionidae,pelagic,species,74.5,45.2,148.9,0.954,0.638,1.387,0.164,0.11,0.244,19.2,18.3,20.1,35,20,58,86.5,36.4,205,1.28,0.93,1.75
Pterocaesio chrysozona,Goldband fusilier,Caesionidae,pelagic,species,74.5,45.2,148.9,0.954,0.638,1.387,0.164,0.11,0.244,19.2,18.3,20.1,35,20,58,86.5,36.4,205,1.28,0.93,1.75
Pterocaesio digramma,Double-lined fusilier,Caesionidae,pelagic,species,46.5,28.5,80,0.706,0.46,1.033,0.153,0.106,0.221,19,18,20,33.7,19,55.3,126,53,303,1.16,0.84,1.58
Pterocaesio marri,Marr's fusilier,Caesionidae,pelagic,species,51.2,32.2,95.4,0.815,0.554,1.149,0.151,0.107,0.214,19.3,18.4,20.2,39.4,23.4,61.6,72.5,31.7,165.8,1.11,0.83,1.49
Pterocaesio pisang,Banana fusilier,Caesionidae,pelagic,species,79.7,47.8,165.3,1.02,0.67,1.48,0.165,0.109,0.249,19.3,18.3,20.2,36.2,20.2,62,73.8,30,176.7,1.28,0.92,1.77
Pterocaesio tile,Dark-banded fusilier,Caesionidae,pelagic,species,56.3,34.9,106.2,0.859,0.583,1.216,0.153,0.106,0.219,19.2,18.3,20.1,38,22,60,74.6,31.6,175.2,1.17,0.87,1.58
Pterois antennata,Broadbarred firefish,Scorpaenidae,benthic,species,78.1,40,196.4,0.644,0.344,1.145,0.217,0.102,0.573,18.3,16.3,20.2,33.5,16.6,73.4,136,50,354,1.42,0.95,2.05
Pterois miles,Devil firefish,Scorpaenidae,benthic,genus,43.9,22.2,101.7,0.543,0.265,1.056,0.23,0.11,0.61,18.3,16.3,20.3,34.2,15.8,77.6,280,96,830,0.973,0.644,1.495
Pterois radiata,Radial firefish,Scorpaenidae,benthic,genus,56.9,28.7,136.1,0.695,0.39,1.256,0.219,0.104,0.567,18,16,20,33.1,16,71.5,201,76,538,1.2,0.8,1.8
Pterois russelii,Plaintail turkeyfish,Scorpaenidae,benthic,genus,65.8,27.8,155.1,0.729,0.38,1.602,0.483,0.18,1.423,17.1,15,19.1,29.8,11.3,82.6,385,95,"1,535",1.34,0.79,2.31
Pterois volitans,Red lionfish,Scorpaenidae,pelagic,species,55.4,27.6,146.7,0.716,0.412,1.269,0.227,0.108,0.594,18.8,16.8,20.7,45.1,22.2,97.6,101,40,259,0.906,0.612,1.325
Pycnochromis agilis,Agile chromis,Pomacentridae,pelagic,genus,146,77,270,1.08,0.66,1.91,0.178,0.092,0.334,18.3,17.2,19.6,18.6,8.2,39.8,202,61,679,1.72,1.09,2.75
Pycnochromis dimidiatus,Chocolatedip chromis,Pomacentridae,pelagic,species,95.4,51.2,166.1,0.979,0.611,1.616,0.15,0.08,0.26,18.3,17.1,19.4,21.7,10,45.5,121,36,421,1.56,1,2.4
Pycnochromis nigrurus,Blacktail chromis,Pomacentridae,pelagic,species,144,76,310,1.11,0.68,1.85,0.199,0.112,0.349,18.8,17.8,19.9,22.7,11.2,49.1,236,89,624,1.8,1.2,2.7
Pygoplites diacanthus,Regal angelfish,Pomacanthidae,benthic,species,45.7,26.9,72.6,0.547,0.351,0.873,0.121,0.076,0.185,18.5,17.4,19.7,26.3,14.1,49.1,78.6,21.9,266.2,1.32,0.87,1.95
Rachycentron canadum,Cobia,Rachycentridae,pelagic,species,22.1,9.8,45.4,1.07,0.49,2.13,0.259,0.108,0.631,19,18,20,32.6,11.1,82.1,19.2,3.8,95.1,0.707,0.425,1.226
Rastrelliger kanagurta,Indian mackerel,Scombridae,pelagic,species,204,59,513,2.97,1.54,5.99,0.376,0.175,0.809,20.8,19.5,21.9,47,16,147,19.2,4.4,82.6,1.19,0.62,3.21
Remora remora,Shark sucker,Echeneidae,benthic,species,22.6,12.6,42.6,0.871,0.516,1.447,0.136,0.079,0.237,19.7,18.7,20.6,25.1,12.8,48.7,30.1,9.5,92.5,0.72,0.48,1.09
Rexea prometheoides,Royal escolar,Gempylidae,benthic,species,128,35,428,0.866,0.308,2.212,0.182,0.101,0.328,16.6,14.1,19.9,66,31,136,31.2,12.7,82.1,1.22,0.83,1.76
Rhabdamia gracilis,Luminous cardinalfish,Apogonidae,pelagic,genus,188,107,465,1.15,0.72,1.86,0.183,0.109,0.307,19.3,18.2,20.3,29,15,55,73.8,24.8,215.5,1.94,1.32,2.83
Rhabdosargus sarba,Goldlined seabream,Sparidae,benthic,species,40.5,19.8,83.1,0.652,0.365,1.532,0.241,0.115,0.518,18.5,17.1,20,36.3,14.7,87.6,31.2,6.7,130.9,1.11,0.63,1.85
Rhina ancylostomus,Bowmouth guitarfish,Rhinidae,benthic,species,12,2,39,0.363,0.101,0.985,0.0805,null,null,19.2,17.1,21.4,49.5,13.3,139,17.9,6.4,48.2,0.653,0.309,1.674
Rhinecanthus aculeatus,White-banded triggerfish,Balistidae,benthic,species,57.6,22.6,120.5,0.635,0.399,1.246,0.125,0.063,0.251,18.6,16.5,20.6,32.6,17.1,67.7,49.5,15.1,157.3,1.17,0.77,1.79
Rhinecanthus rectangulus,Wedge-tail triggerfish,Balistidae,benthic,genus,59.1,23.4,125.8,0.619,0.377,1.231,0.131,0.066,0.263,18.7,16.7,20.8,32.1,16.7,68.3,57.1,17.6,183.7,1.12,0.73,1.71
Rhinecanthus verrucosus,Blackbelly triggerfish,Balistidae,benthic,genus,70.4,27.7,150.4,0.679,0.42,1.339,0.134,0.067,0.267,18.7,16.6,20.7,30.4,15.8,64.1,59,18,190,1.23,0.8,1.88
Rhinomuraena quaesita,Ribbon moray,Muraenidae,pelagic,species,23.8,13,42.8,0.387,0.218,0.654,0.13,0.06,0.35,19.7,17.4,22.1,51.9,26.7,95.3,114,32,388,0.704,0.485,1.001
Rhinoptera javanica,Flapnose ray,Rhinopteridae,benthic,species,15,2,81,0.544,0.094,2.126,0.151,0.047,0.489,19.6,17,22.2,33.2,7.4,142,29.5,5.6,154.9,0.963,0.249,3.77
Rhizoprionodon acutus,Milk shark,Carcharhinidae,pelagic,species,38.8,4.6,150.8,0.754,0.209,2.436,0.385,0.14,0.985,20,17,22,54.1,10,164.5,28.2,9.5,87.4,0.76,0.35,1.67
Rhynchobatus djiddensis,Giant guitarfish,Rhinidae,benthic,species,14.5,2.4,51.6,0.465,0.132,1.321,0.159,0.062,0.383,18,16,20,45,8,153,22.3,6.2,75.2,0.845,0.391,2.397
Rhynchostracion nasus,Shortnose boxfish,Ostraciidae,benthic,family,55.7,21.6,115.2,0.643,0.405,1.256,0.118,0.059,0.217,18.5,16.2,20.7,33.1,17.2,67.6,45.6,13.9,146.8,1.21,0.79,1.86
Richardsonichthys leucogaster,Whiteface waspfish,Tetrarogidae,benthic,family,105,53,243,0.697,0.402,1.334,0.208,0.09,0.596,17.4,15.9,19,22.4,10.8,56.2,153,44,526,1.56,0.98,2.49
Rogadius serratus,Serrated flathead,Platycephalidae,benthic,family,110,48,274,0.679,0.395,1.435,0.155,0.071,0.438,18,16,20,41,19,104,83.2,30.4,211.4,1.4,0.9,2.2
Ruvettus pretiosus,Oilfish,Gempylidae,pelagic,species,22.5,11.4,45,0.633,0.368,1.214,0.205,0.122,0.344,18.3,15.8,20.4,49.5,23.5,102.3,13.8,4.3,42.3,0.488,0.344,0.708
Salarias fasciatus,Jewelled blenny,Blenniidae,benthic,species,124,53,252,1.06,0.57,2.07,0.186,0.08,0.422,17,16,18,29.7,12.7,74,70.3,15.2,299.5,2.72,1.69,4.64
Salarias sinuosus,Fringelip blenny,Blenniidae,benthic,species,175,86,373,1.07,0.62,1.88,0.107,0.054,0.204,18.1,16.9,19.2,25.6,11.7,57.4,71.9,19.7,264.7,2.62,1.63,4.32
Samariscus triocellatus,Three-spot righteye flounder,Samaridae,benthic,species,92.1,44.7,182.9,0.594,0.331,1.067,0.114,0.053,0.232,18.2,16.7,19.8,20.4,9.2,47,185,43,751,1.45,0.88,2.25
Sarda orientalis,Striped bonito,Scombridae,benthic,species,33.1,19.3,55.7,2.49,1.5,4.33,0.406,0.194,0.845,20.8,19.8,21.8,31.1,19.6,52.1,13.5,5.1,36.3,0.541,0.396,0.827
Sarda sarda,Atlantic bonito,Scombridae,pelagic,species,59.4,30.6,128.1,3.96,2.2,7.39,0.866,0.319,2.304,19.9,18.7,21.2,32.6,16.2,63.9,11.9,3.1,45.2,0.711,0.482,1.121
Sardinella melanura,Blacktip sardinella,Clupeidae,pelagic,genus,300,180,507,1.83,1.12,2.99,0.383,0.196,0.739,20.6,19.7,21.4,111,54,202,26.4,11.2,69.5,1.46,1.04,2.07
Sargocentron caudimaculatum,Silverspot squirrelfish,Holocentridae,benthic,species,73.7,27.9,236.9,0.459,0.207,1.365,0.155,0.067,0.369,19.3,18.2,20.5,38.8,20.5,69.7,66.3,25.1,174.8,1.69,0.77,3.27
Sargocentron diadema,Crown squirrelfish,Holocentridae,pelagic,species,105,39,354,0.6,0.3,1.8,0.153,0.063,0.376,19.2,18,20.4,38.5,20.4,71.1,45.8,16.3,133.5,2.01,0.93,4.07
Sargocentron ittodai,Samurai squirrelfish,Holocentridae,benthic,species,85.5,32.1,278.4,0.515,0.244,1.544,0.153,0.065,0.363,19.2,18,20.4,37.4,20.5,66.6,59.8,23.1,158.7,1.87,0.86,3.63
Sargocentron melanospilos,Blackblotch squirrelfish,Holocentridae,pelagic,species,74.6,28.2,239.9,0.454,0.202,1.347,0.156,0.067,0.374,19.3,18.2,20.6,38.7,20.1,70.7,69.5,25.9,184.9,1.66,0.76,3.24
Sargocentron microstoma,Smallmouth squirrelfish,Holocentridae,benthic,species,85.5,32.1,278.4,0.515,0.244,1.544,0.153,0.065,0.363,19.2,18,20.4,37.4,20.5,66.6,59.8,23.1,158.7,1.87,0.86,3.63
Sargocentron praslin,Dark-striped squirrelfish,Holocentridae,benthic,genus,40.9,14.5,143.1,0.641,0.286,1.944,0.209,0.086,0.51,19.8,18.7,21,19.6,10.3,37.7,32.3,10.6,99.2,1.29,0.58,2.63
Sargocentron punctatissimum,Speckled squirrelfish,Holocentridae,benthic,species,75.3,28.4,244.4,0.501,0.242,1.498,0.145,0.062,0.343,19.1,18,20.3,38.8,22.1,66.1,52.6,20.9,134.6,1.85,0.86,3.59
Sargocentron seychellense,Yellow-tipped squirrelfish,Holocentridae,benthic,genus,66,25,209,0.462,0.219,1.366,0.144,0.062,0.336,19.2,18,20.3,39.7,22.7,66.3,55.6,22.6,139.8,1.75,0.81,3.36
Sargocentron spiniferum,Sabre squirrelfish,Holocentridae,benthic,species,34.7,13.3,109.1,0.426,0.207,1.241,0.137,0.061,0.308,19,18,20,43.7,25.2,70.6,75.8,32.7,177.9,1.31,0.6,2.5
Sargocentron tiere,Blue lined squirrelfish,Holocentridae,pelagic,species,52.9,20.9,172.8,0.476,0.219,1.386,0.162,0.07,0.372,19.2,18.1,20.4,39.4,21,71,104,42,264,1.35,0.61,2.6
Sargocentron violaceum,Violet squirrelfish,Holocentridae,benthic,species,45.3,17.1,139.4,0.389,0.181,1.129,0.134,0.059,0.315,19.3,18.1,20.4,44,26,72,48.8,20,118.7,1.5,0.7,2.9
Saurida gracilis,Gracile lizardfish,Synodontidae,pelagic,species,60.7,21.9,134,0.608,0.27,1.171,0.0869,null,null,15.2,12.5,17.8,36.8,15.9,75,100,24,340,0.991,0.511,1.529
Saurida nebulosa,Clouded lizardfish,Synodontidae,pelagic,species,131,39,351,0.959,0.405,2.157,0.193,0.055,0.578,13.9,11.2,16.7,29.6,10.7,83.4,149,27,676,1.54,0.78,2.62
Saurida undosquamis,Brushtooth lizardfish,Synodontidae,pelagic,species,28.1,10.1,68.2,0.689,0.286,1.49,0.127,0.045,0.303,16,13,19,18.3,7.5,42.7,74.5,16.5,287.7,0.647,0.331,1.078
Scarus caudofasciatus,Redbarred parrotfish,Scaridae,benthic,species,33.6,22.1,53.1,0.767,0.529,1.109,0.0891,null,null,18.8,16.7,20.7,20.5,13.3,32,22.5,7,70.9,2.19,1.6,2.89
Scarus dubius,Regal parrot,Scaridae,benthic,genus,42,28,66,0.833,0.571,1.192,0.0941,null,null,18.7,16.6,20.6,18.6,12,28.9,27.3,8.6,85.8,2.39,1.75,3.18
Scarus falcipinnis,Sicklefin parrotfish,Scaridae,benthic,species,29.4,19.3,47.1,0.728,0.501,1.053,0.0866,null,null,18.8,16.7,20.7,21.4,13.8,33.9,21,7,66,2.08,1.52,2.76
Scarus festivus,Festive parrotfish,Scaridae,benthic,species,54.1,25.9,112.1,0.988,0.523,1.889,0.126,0.06,0.262,17.1,14.9,19.1,20,8,51,27.2,6.2,117.8,3.18,1.98,5.03
Scarus frenatus,Bridled parrotfish,Scaridae,benthic,species,40.6,26.8,63.4,0.875,0.6,1.326,0.0908,null,null,18.9,16.8,20.8,21.7,14.4,33.8,16.8,5.3,54.9,2.23,1.63,2.93
Scarus ghobban,Blue-barred parrotfish,Scaridae,benthic,species,32.4,16.6,59.9,0.913,0.516,1.636,0.166,0.086,0.323,17.6,15.4,19.6,21.6,10.3,46.2,22.9,5.5,92.6,2.58,1.7,3.89
Scarus globiceps,Globehead parrotfish,Scaridae,benthic,species,42.3,24.6,74.8,0.76,0.47,1.18,0.0628,null,null,18.3,16.2,20.2,21.1,12.1,40.9,21.5,6.3,75.6,2.41,1.65,3.47
Scarus niger,Dusky parrotfish,Scaridae,benthic,species,44.3,29.4,69.1,0.895,0.617,1.343,0.093,0.065,0.133,18.8,16.7,20.7,20.5,13.7,31.9,19.1,6.1,62.1,2.33,1.71,3.08
Scarus prasiognathos,Singapore parrotfish,Scaridae,benthic,species,30.4,17.2,53.7,0.659,0.407,1.02,0.0585,null,null,18.4,16.2,20.3,23.3,13,46.8,18.8,5.4,66.5,2.14,1.44,3.09
Scarus psittacus,Common parrotfish,Scaridae,benthic,species,58.8,38.4,95.8,1.08,0.71,1.75,0.0957,null,null,19,17,21,21.6,13.6,35.3,13.7,4,48.9,2.45,1.74,3.3
Scarus rubroviolaceus,Ember parrotfish,Scaridae,benthic,species,31.1,20.3,49,0.792,0.539,1.207,0.0851,null,null,19,17,21,23.9,15.8,38.3,13.6,4.3,43.8,2,1,3
Scarus russelii,Eclipse parrotfish,Scaridae,benthic,species,33.2,21.8,52.6,0.764,0.528,1.107,0.0889,null,null,18.8,16.7,20.7,20.6,13.5,32.2,22.1,6.9,70,2.18,1.59,2.88
Scarus scaber,Fivesaddle parrotfish,Scaridae,benthic,species,47.6,31.5,74.6,0.93,0.63,1.41,0.0942,null,null,18.8,16.7,20.7,20.3,13.5,31.8,18.9,6,61.6,2.38,1.74,3.15
Scarus tricolor,Tricolour parrotfish,Scaridae,benthic,species,52.5,34.4,83,0.912,0.621,1.323,0.0989,null,null,18.7,16.6,20.5,17.5,11.3,27.3,30.1,9.4,95.3,2.59,1.89,3.47
Scarus viridifucatus,Roundhead parrotfish,Scaridae,benthic,species,37,24,58,0.803,0.554,1.164,0.0907,null,null,18.8,16.7,20.6,20,13,31,22.6,7.1,71.3,2.25,1.65,2.97
Scolopsis frenata,Bridled monocle bream,Nemipteridae,benthic,species,68.9,41.1,138,0.729,0.415,1.24,0.15,0.09,0.25,19,17,21,36.5,20.3,62.4,54.5,14.3,150.7,1.35,0.83,2
Scomberoides commersonnianus,Talang queenfish,Carangidae,benthic,species,36.8,17.2,73.5,0.579,0.323,1.265,0.302,0.152,0.609,19.1,17.9,20.3,46.5,21.6,103.9,74.8,20,256.6,0.988,0.609,1.566
Scomberoides lysan,Doublespotted queenfish,Carangidae,pelagic,species,40.1,19.3,85,0.91,0.48,1.84,0.304,0.148,0.624,18.9,17.7,20,50.1,23.5,104.9,58,16,204,0.958,0.613,1.492
Scomberoides tol,Needlescaled queenfish,Carangidae,pelagic,species,74.4,34.7,157.5,1.26,0.64,2.66,0.342,0.16,0.742,19,18,20,48,21,110,51,14,190,1.11,0.7,1.78
Scomberomorus commerson,Narrow-barred Spanish mackerel,Scombridae,pelagic,species,26.3,9.7,95.7,0.651,0.308,1.587,0.292,0.171,0.494,21,20,22,99.1,30.6,294.5,15.4,3.1,71.2,0.561,0.345,0.973
Scomberomorus guttatus,Indo-Pacific king mackerel,Scombridae,pelagic,species,76.7,26.6,267.6,1.28,0.53,3.13,0.674,0.321,1.434,19.5,18.2,20.9,71.5,20.2,258.1,25.8,4.6,144.5,1.04,0.61,1.86
Scomberomorus plurilineatus,Kanadi kingfish,Scombridae,pelagic,species,31.1,10.4,112.5,1.32,0.58,3.09,0.459,0.29,0.745,21.4,20.2,22.7,42.2,12.5,126.1,9.79,1.74,51.47,0.553,0.33,0.979
Scorpaenodes albaiensis,Longfingered scorpionfish,Scorpaenidae,benthic,genus,114,57,309,0.763,0.407,1.351,0.236,0.107,0.633,18.2,16.2,20.2,29.7,14.2,67,157,57,432,1.64,1.08,2.42
Scorpaenodes guamensis,Guam scorpionfish,Scorpaenidae,benthic,species,99,50,259,0.734,0.403,1.286,0.223,0.103,0.588,18.1,16.2,20.1,31,15,68,141,51,373,1.61,1.07,2.35
Scorpaenodes hirsutus,Hairy scorpionfish,Scorpaenidae,benthic,genus,191,90,567,0.924,0.478,1.695,0.269,0.113,0.748,18.1,16.1,20.1,24.4,10.2,58.3,225,74,672,2.02,1.27,3.13
Scorpaenodes minor,Minor scorpionfish,Scorpaenidae,benthic,genus,215,101,656,0.998,0.526,1.844,0.275,0.114,0.756,18.1,16.1,20.1,24.8,10.4,59.5,201,66,593,2.07,1.31,3.21
Scorpaenodes parvipinnis,Lowfin scorpionfish,Scorpaenidae,benthic,genus,101,51,266,0.719,0.381,1.279,0.23,0.11,0.61,18.2,16.3,20.2,30.8,14.8,68.3,155,56,413,1.56,1.03,2.29
Scorpaenodes varipinnis,Blotchfin scorpionfish,Scorpaenidae,benthic,genus,108,54,289,0.745,0.398,1.32,0.232,0.107,0.622,18.2,16.2,20.2,30.4,14.6,67.8,153,55,413,1.6,1.1,2.3
Scorpaenopsis diabolus,False stonefish,Scorpaenidae,pelagic,species,51.2,26.1,122.4,0.605,0.311,1.146,0.232,0.109,0.609,18.3,16.3,20.3,34.2,16.1,75.7,244,89,663,1.04,0.69,1.57
Scorpaenopsis gibbosa,Humpbacked scorpionfish,Scorpaenidae,pelagic,species,63.7,32.1,156.6,0.653,0.329,1.257,0.246,0.112,0.651,18.2,16.2,20.2,31,14,70,304,107,846,1.14,0.76,1.76
Scorpaenopsis venosa,Raggy scorpionfish,Scorpaenidae,pelagic,genus,57,29,137,0.683,0.378,1.24,0.223,0.106,0.582,18.1,16.1,20.1,33.6,16.6,72.1,204,77,544,1.16,0.78,1.73
Scorpaenopsis vittapinna,Bandfin scorpionfish,Scorpaenidae,pelagic,genus,126,62,354,0.965,0.522,1.764,0.268,0.116,0.712,18,16,20,26.6,11.5,61,294,105,801,1.57,1,2.4
Scuticaria tigrina,Tiger reef-eel,Muraenidae,pelagic,family,25.7,14.3,45.1,0.351,0.197,0.599,0.115,0.052,0.3,19.7,17.5,22.1,54,30,104,53.8,14.9,175.1,0.841,0.576,1.181
Sebastapistes cyanostigma,Yellowspotted scorpionfish,Scorpaenidae,benthic,genus,133,65,371,0.786,0.412,1.422,0.25,0.11,0.68,18.3,16.3,20.2,28.1,12.8,65.2,184,64,522,1.68,1.09,2.5
Sebastapistes fowleri,Pigmy scorpionfish,Scorpaenidae,benthic,genus,238,111,744,1.02,0.53,1.94,0.287,0.118,0.811,18.2,16.1,20.2,24.3,9.7,59.8,221,71,693,2.08,1.29,3.25
Sebastapistes mauritiana,Spineblotch scorpionfish,Scorpaenidae,benthic,genus,139,68,392,0.803,0.422,1.454,0.253,0.111,0.683,18.3,16.3,20.2,27.8,12.5,65.2,184,64,522,1.7,1.1,2.5
Sebastapistes strongia,Barchin scorpionfish,Scorpaenidae,benthic,genus,139,68,392,0.803,0.422,1.454,0.253,0.111,0.683,18.3,16.3,20.2,27.8,12.5,65.2,184,64,522,1.7,1.1,2.5
Selar crumenophthalmus,Bigeye scad,Carangidae,benthic,species,46.1,13.1,118.3,1.01,0.41,2.53,0.314,0.157,0.638,21.4,19.5,23,54.4,19.6,141,12.4,3.2,54.3,0.706,0.369,1.342
Seriolina nigrofasciata,Blackbanded trevally,Carangidae,benthic,species,53.2,24.4,116.8,0.682,0.351,1.664,0.289,0.134,0.621,18,16,20,37.5,15.1,94.6,56.9,13.1,233.5,1.05,0.6,1.7
Siganus argenteus,Streamlined spinefoot,Siganidae,benthic,species,37.6,18.4,83.7,0.788,0.385,1.432,0.134,0.076,0.241,19.3,18.1,20.5,22.1,10.7,49.2,17.8,5.6,58.2,1.39,0.66,2.84
Siganus corallinus,Blue-spotted spinefoot,Siganidae,benthic,species,35.2,15.3,83.3,0.691,0.318,1.453,0.123,0.064,0.24,18.9,17.6,20.2,17.4,7.5,44.5,19.4,5,71.3,1.26,0.56,2.74
Siganus luridus,Dusky spinefoot,Siganidae,benthic,species,20.5,8.8,56.2,0.869,0.382,1.805,0.206,0.104,0.422,19.5,18.5,20.5,7.97,3.05,20.27,33.3,8.4,125.9,1.18,0.52,2.57
Siganus rivulatus,Marbled spinefoot,Siganidae,benthic,species,28.2,10,80.3,1.16,0.45,2.97,0.417,0.164,1.109,18.3,17.1,19.5,7.6,2.3,22.7,43.5,8.5,213.9,1.59,0.64,3.68
Siganus stellatus,Brown-spotted spinefoot,Siganidae,benthic,species,35.7,15.8,86.2,0.636,0.293,1.393,0.135,0.07,0.261,19.2,17.9,20.6,18.1,7.7,46.9,22.8,7,72.2,1.1,0.5,2.4
Siganus sutor,Shoemaker spinefoot,Siganidae,benthic,species,43.7,18.5,104.4,0.93,0.41,1.95,0.275,0.126,0.621,18.2,16.9,19.5,21.1,8.4,54.5,27,7,99,1.71,0.78,3.69
Sillago sihama,Silver sillago,Sillaginidae,benthic,species,218,43,782,1.24,0.41,4.01,0.185,0.068,0.542,19.8,16.9,22.3,26.6,6.2,97.2,145,19,964,1.65,0.76,3.85
Sphaeramia orbicularis,Orbiculate cardinalfish,Apogonidae,pelagic,species,139,80,254,0.887,0.564,1.612,0.163,0.095,0.278,19.1,18,20.2,25.4,12.7,51.6,69.4,21.8,224.7,1.5,1,2.3
Sphyraena acutipinnis,Sharpfin barracuda,Sphyraenidae,pelagic,species,26.2,9.5,70.1,0.4,0.2,1.3,0.206,0.083,0.513,19.3,17.4,21,36.1,9.9,107.5,43.9,9.5,288.5,0.697,0.406,1.343
Sphyraena barracuda,Great barracuda,Sphyraenidae,pelagic,species,8.98,3.05,25.12,0.417,0.167,1.487,0.265,0.098,0.72,20,18,22,21.3,5.8,64,21.9,3.8,179.3,0.421,0.229,0.851
Sphyraena flavicauda,Yellowtail barracuda,Sphyraenidae,pelagic,species,25.7,11.5,60.7,0.376,0.183,1.366,0.0982,null,null,20.2,18.5,21.9,39.4,16.8,93.9,22.2,5.7,130.5,0.635,0.387,1.141
Sphyraena forsteri,Bigeye barracuda,Sphyraenidae,pelagic,species,21.3,9.6,49.4,0.308,0.153,1.047,0.103,0.05,0.214,20.4,18.7,22.1,39.6,16.2,88.6,32.7,9.3,193.6,0.548,0.344,0.973
Sphyraena jello,Pickhandle barracuda,Sphyraenidae,pelagic,species,15.3,5.6,43.6,0.31,0.13,1,0.187,0.076,0.455,19.3,17.4,21.1,39.8,12.5,118.6,40.2,8.9,272.7,0.586,0.338,1.12
Sphyraena obtusata,Obtuse barracuda,Sphyraenidae,pelagic,species,44.5,15,115.7,0.546,0.216,1.945,0.221,0.086,0.583,19.4,17.5,21.2,37.7,9.1,114.7,29,6,201,0.778,0.444,1.506
Sphyraena qenie,Blackfin barracuda,Sphyraenidae,pelagic,species,11.3,5.2,26.4,0.232,0.117,0.786,0.09,0.04,0.18,20.5,18.7,22.2,46.9,20,106.4,26.4,7.3,155.8,0.436,0.276,0.777
Sphyrna lewini,Scalloped hammerhead,Sphyrnidae,pelagic,species,21.8,3.3,87.5,0.771,0.229,2.283,0.275,0.095,0.727,17.9,15.8,20.1,54.3,13.7,177.8,15.3,4.6,52.2,0.687,0.318,1.638
Sphyrna mokarran,Great hammerhead,Sphyrnidae,pelagic,species,12.5,1.9,52.9,1.04,0.3,3.03,0.396,0.137,1.069,18.8,16.6,21,29.6,6.1,92.2,8.41,2.34,32.61,0.472,0.214,1.14
Sphyrna zygaena,Smooth hammerhead,Sphyrnidae,pelagic,species,15.3,2.4,65.9,1.03,0.29,3.16,0.448,0.156,1.205,19,17,21,28.1,5.4,88.2,11.8,3.3,47.5,0.459,0.205,1.078
Spratelloides delicatulus,Delicate round herring,Spratelloididae,pelagic,species,266,79,870,2.24,0.71,5.77,0.223,0.086,0.55,20.6,18.2,22.7,61.4,16.4,227.3,47.8,7.9,301.8,2.34,0.95,5.25
Stanulus seychellensis,Seychelle's blenny,Blenniidae,benthic,species,236,113,534,1.22,0.69,2.21,0.115,0.055,0.23,18,17,19,23.5,10.2,55.1,83.2,21.9,312.2,2.93,1.77,4.95
Stegastes albifasciatus,Whitebar gregory,Pomacentridae,benthic,species,79.8,45.3,135.7,0.821,0.526,1.349,0.122,0.071,0.2,18.3,17.1,19.4,25,13,50,49.9,12.8,188.6,1.74,1.12,2.65
Stegastes lacrymatus,Whitespotted devil,Pomacentridae,benthic,species,99.4,57,169.9,0.88,0.57,1.43,0.131,0.076,0.213,18.4,17.2,19.5,23.6,12.3,46.9,58.2,15.9,208.8,1.81,1.19,2.76
Stegastes nigricans,Dusky farmerfish,Pomacentridae,benthic,species,97.1,56,167.2,0.97,0.62,1.55,0.126,0.075,0.201,18.6,17.5,19.7,28.8,14.9,56.3,31.1,8.7,113.1,1.66,1.1,2.53
